Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Jönköping-Axamos Flygplats;74460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-04-01 00:00:00;2024-09-30 23:59:59;226.0;57.7514;14.0733

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1985-04-01 00:00:01;1985-05-01 00:00:00;1985-04;1.6;Y
1985-05-01 00:00:01;1985-06-01 00:00:00;1985-05;10.2;Y
1985-06-01 00:00:01;1985-07-01 00:00:00;1985-06;12.7;Y
1985-07-01 00:00:01;1985-08-01 00:00:00;1985-07;15.0;Y
1985-08-01 00:00:01;1985-09-01 00:00:00;1985-08;14.0;Y
1985-09-01 00:00:01;1985-10-01 00:00:00;1985-09;9.2;Y
1985-10-01 00:00:01;1985-11-01 00:00:00;1985-10;7.7;Y
1985-11-01 00:00:01;1985-12-01 00:00:00;1985-11;-1.0;Y
1985-12-01 00:00:01;1986-01-01 00:00:00;1985-12;-2.9;Y
1986-01-01 00:00:01;1986-02-01 00:00:00;1986-01;-5.2;Y
1986-02-01 00:00:01;1986-03-01 00:00:00;1986-02;-9.2;Y
1986-03-01 00:00:01;1986-04-01 00:00:00;1986-03;0.0;Y
1986-04-01 00:00:01;1986-05-01 00:00:00;1986-04;1.8;Y
1986-05-01 00:00:01;1986-06-01 00:00:00;1986-05;11.1;Y
1986-06-01 00:00:01;1986-07-01 00:00:00;1986-06;14.7;Y
1986-07-01 00:00:01;1986-08-01 00:00:00;1986-07;15.0;Y
1986-08-01 00:00:01;1986-09-01 00:00:00;1986-08;12.5;Y
1986-09-01 00:00:01;1986-10-01 00:00:00;1986-09;7.4;Y
1986-10-01 00:00:01;1986-11-01 00:00:00;1986-10;6.3;Y
1986-11-01 00:00:01;1986-12-01 00:00:00;1986-11;4.4;Y
1986-12-01 00:00:01;1987-01-01 00:00:00;1986-12;-1.8;Y
1987-01-01 00:00:01;1987-02-01 00:00:00;1987-01;-10.8;Y
1987-02-01 00:00:01;1987-03-01 00:00:00;1987-02;-4.3;Y
1987-03-01 00:00:01;1987-04-01 00:00:00;1987-03;-6.3;Y
1987-04-01 00:00:01;1987-05-01 00:00:00;1987-04;4.6;Y
1987-05-01 00:00:01;1987-06-01 00:00:00;1987-05;7.7;Y
1987-06-01 00:00:01;1987-07-01 00:00:00;1987-06;10.9;Y
1987-07-01 00:00:01;1987-08-01 00:00:00;1987-07;14.1;Y
1987-08-01 00:00:01;1987-09-01 00:00:00;1987-08;11.9;Y
1987-09-01 00:00:01;1987-10-01 00:00:00;1987-09;9.3;Y
1987-10-01 00:00:01;1987-11-01 00:00:00;1987-10;7.0;Y
1987-11-01 00:00:01;1987-12-01 00:00:00;1987-11;1.2;Y
1987-12-01 00:00:01;1988-01-01 00:00:00;1987-12;-1.7;Y
1988-01-01 00:00:01;1988-02-01 00:00:00;1988-01;0.4;Y
1988-02-01 00:00:01;1988-03-01 00:00:00;1988-02;-0.7;Y
1988-03-01 00:00:01;1988-04-01 00:00:00;1988-03;-2.6;Y
1988-04-01 00:00:01;1988-05-01 00:00:00;1988-04;3.0;Y
1988-05-01 00:00:01;1988-06-01 00:00:00;1988-05;11.2;Y
1988-06-01 00:00:01;1988-07-01 00:00:00;1988-06;15.6;Y
1988-07-01 00:00:01;1988-08-01 00:00:00;1988-07;15.2;Y
1988-08-01 00:00:01;1988-09-01 00:00:00;1988-08;13.9;Y
1988-09-01 00:00:01;1988-10-01 00:00:00;1988-09;11.4;Y
1988-10-01 00:00:01;1988-11-01 00:00:00;1988-10;5.0;Y
1988-11-01 00:00:01;1988-12-01 00:00:00;1988-11;-1.5;Y
1988-12-01 00:00:01;1989-01-01 00:00:00;1988-12;-1.9;Y
1989-01-01 00:00:01;1989-02-01 00:00:00;1989-01;3.1;Y
